frame,tid,cx,cy,yaw,hit,speed,moving,score,length
10,1,13.838573,-18.739541,-1.276731,1,6.575355,1,72.000000,1.040493
10,2,14.780053,30.256434,-4.416692,1,0.133046,0,7.000000,1.934994
10,6,16.022488,35.104645,-1.973282,1,2.320859,1,2.000000,0.118792
10,7,40.265711,-9.065793,-0.902998,1,0.121527,0,14.000000,1.215864
10,9,25.198835,8.964856,-2.893036,1,10.115839,1,17.000000,1.311924
10,12,10.628856,27.803681,-1.570796,1,0.001754,0,1.000000,0.000000
10,3,31.196885,-29.503035,-2.978541,0,1.658922,0,3.000000,2.087845
10,10,25.530987,12.398834,-3.137676,0,7.445947,1,2.000000,0.676355
11,1,14.586677,-18.668747,-1.153135,1,6.707314,1,66.000000,0.898866
11,2,14.769091,30.267778,-3.636192,1,0.099458,0,8.000000,0.972599
11,3,31.124092,-28.993294,-3.141593,1,0.719295,0,1.000000,2.087845
11,7,40.213541,-9.114040,-0.895649,1,0.012856,0,19.000000,1.247622
11,9,23.916037,8.790060,-2.813323,1,10.587414,1,9.000000,0.918013
11,10,23.498661,12.217391,-2.838536,1,10.219159,1,17.000000,0.704936
11,13,33.570560,-2.574430,-1.570796,1,0.000000,0,1.000000,0.000000
11,14,25.463535,-4.894788,-1.144219,1,0.000000,0,143.000000,6.798183
11,12,10.628919,27.803845,-1.570796,0,0.001754,0,1.000000,0.000000
12,1,15.331954,-18.597195,-1.269226,1,6.810480,1,70.000000,1.302162
12,2,14.755722,30.271168,-3.591395,1,0.086463,0,7.000000,0.836357
12,3,31.092220,-28.883826,-2.986326,1,0.481936,0,3.000000,1.797680
12,7,40.318770,-9.129559,-0.262512,1,0.135023,0,2.000000,0.894424
12,9,22.765390,8.549538,-3.091952,1,10.757347,1,4.000000,1.414956
12,10,21.915594,11.934705,-2.582475,1,11.322321,1,21.000000,1.385626
12,12,10.625505,27.794917,-1.570796,1,0.019171,0,1.000000,0.000000
12,13,32.829648,-3.050479,-7.494738,1,0.728705,0,8.000000,1.391558
12,14,26.288047,-4.793904,-7.981970,1,0.687328,0,91.000000,2.688879
12,15,42.874279,10.944395,-3.068051,1,0.000000,0,8.000000,0.964324
13,1,16.079532,-18.521117,-1.185722,1,6.898979,1,64.000000,0.929664
13,2,14.733554,30.251639,-3.925545,1,0.109954,0,5.000000,0.544487
13,3,31.130674,-29.044539,-2.984894,1,0.623397,0,4.000000,1.986141
13,7,40.280882,-9.154683,-0.946299,1,0.080956,0,15.000000,1.206963
13,9,21.465788,8.395450,-2.789832,1,11.095144,1,19.000000,1.039497
13,12,10.794012,27.630086,-1.570796,1,0.523213,0,1.000000,0.000000
13,13,33.250300,-2.859319,-1.570796,1,0.433062,0,1.000000,1.391558
13,15,42.263820,10.874724,-2.985202,1,0.508401,0,2.000000,0.400244
13,14,26.356271,-4.785556,-7.981970,0,0.687328,0,91.000000,2.688879
14,1,16.817093,-18.446969,-1.189621,1,6.961015,1,60.000000,0.897170
14,2,14.720301,30.222252,-3.842475,1,0.135561,0,5.000000,0.580097
14,3,31.071053,-28.778727,3.581206,1,0.233964,0,2.000000,0.138464
14,7,40.209470,-9.204434,-0.846491,1,0.099628,0,15.000000,1.290007
14,9,20.190058,8.286705,-3.258268,1,11.328093,1,26.000000,1.123096
14,14,26.744322,-4.622477,-1.570796,1,1.496505,0,1.000000,2.688879
14,15,41.579678,10.590078,-2.861666,1,1.976868,0,3.000000,0.517164
14,13,33.292416,-2.849236,-1.570796,0,0.433062,0,1.000000,1.391558
14,12,10.830442,27.592530,-1.570796,0,0.523213,0,1.000000,0.000000
15,1,17.552112,-18.372294,-1.111063,1,7.010942,1,57.000000,0.827272
15,2,14.703048,30.220965,-3.839479,1,0.131716,0,6.000000,0.562618
15,3,31.107634,-28.932752,-2.997332,1,0.385622,0,4.000000,1.995407
15,7,40.157842,-9.235559,-0.790534,1,0.147154,0,13.000000,1.077589
15,9,18.947214,8.122085,-2.848052,1,11.484222,1,26.000000,1.345560
15,15,40.592716,10.362907,-2.594312,1,4.226947,0,11.000000,1.156645
15,16,27.239550,-25.776031,-3.574056,1,0.000000,0,2.000000,0.495145
15,13,33.334532,-2.839153,-1.570796,0,0.433062,0,1.000000,1.391558
15,12,10.866871,27.554975,-1.570796,0,0.523213,0,1.000000,0.000000
16,1,18.284796,-18.288922,-1.173220,1,7.052168,1,61.000000,0.877757
16,2,14.707724,30.312229,-3.313593,1,0.063699,0,8.000000,1.325478
