frame,tid,cls,cx,cy,yaw,vx,vy,heading,hit,speed,moving,score,length,width,is_vehicle
5,3,Car,14.908306,30.441729,-4.907123,0.386938,0.298192,0.656584,1,0.488508,0,12.000000,1.712433,0.333905,0
5,4,Car,31.010404,-28.078149,-3.472910,0.023405,0.251389,1.477963,1,0.252476,0,8.000000,0.954628,0.109932,0
5,7,Car,16.576505,36.275362,-1.570796,-0.466883,-2.025146,-1.797380,1,2.078267,0,1.000000,0.497369,0.034039,0
5,8,Car,40.121700,-9.153160,-0.979660,-0.035630,0.112268,1.878113,1,0.117786,0,11.000000,1.268429,0.196636,0
5,10,Car,31.519735,9.290164,-2.719482,-4.026640,-0.411555,-3.039738,1,4.047617,0,5.000000,0.505976,0.203339,0
5,11,Car,30.608566,12.793026,-2.798614,0.000000,0.000000,,1,0.000000,0,3.000000,0.407742,0.015026,0
6,1,Car,10.801242,-18.969529,-1.224121,5.387851,0.213079,0.039528,1,5.392063,0,87.000000,1.108485,0.369307,1
6,2,Truck,21.806110,-5.290837,-2.952384,13.374736,2.007563,0.148989,1,13.524565,1,785.000000,9.098815,2.620960,1
6,3,Car,14.798525,30.343906,-4.605870,0.054629,0.012509,0.225102,1,0.056043,0,5.000000,0.342873,0.114820,0
6,4,Car,31.022628,-28.351832,-2.984058,0.045525,-0.417426,-1.462164,1,0.419901,0,3.000000,2.058937,0.079697,0
6,7,Car,16.501528,35.900336,-1.969249,-0.520469,-2.351929,-1.788581,1,2.408829,0,4.000000,0.724358,0.012539,0
6,8,Car,40.342527,-9.006679,-6.672144,0.466593,0.414987,0.726928,1,0.624438,0,4.000000,0.146841,0.089821,0
6,10,Car,30.229832,9.190157,-2.658918,-6.168345,-0.553617,-3.052081,1,6.193139,0,17.000000,0.859036,0.155260,0
6,11,Car,29.709120,12.706784,-3.041550,-0.744244,-0.071361,-3.046001,1,0.747658,0,3.000000,0.305997,0.021055,0
6,12,Car,28.076590,-24.515190,-1.570796,0.000000,0.000000,,1,0.000000,0,1.000000,0.000000,1.900000,0
7,1,Car,11.572297,-18.917693,-1.262373,5.852588,0.274160,0.046810,1,5.859006,1,84.000000,1.078774,0.391148,1
7,2,Truck,23.079702,-5.148871,-2.941748,13.246918,1.889932,0.141713,1,13.381057,1,821.000000,9.686790,2.813281,1
7,3,Car,14.771637,30.376100,-5.046771,-0.010102,0.074422,1.705711,1,0.075104,0,7.000000,1.148376,0.181033,0
7,4,Car,31.105021,-28.991570,-3.199927,0.201272,-1.613923,-1.446727,1,1.626425,0,4.000000,0.681581,0.050739,0
