frame,tp,fp,fn,idsw,precision,recall
166,5,0,2,0,1.0,0.7143
167,5,0,2,0,1.0,0.7143
168,4,0,3,0,1.0,0.5714
169,5,0,2,0,1.0,0.7143
170,5,0,2,0,1.0,0.7143
171,5,2,3,0,0.7143,0.625
172,5,2,3,0,0.7143,0.625
173,7,3,1,0,0.7,0.875
174,7,2,1,0,0.7778,0.875
175,7,2,1,0,0.7778,0.875
176,5,3,3,0,0.625,0.625
177,4,4,4,0,0.5,0.5
178,5,3,3,0,0.625,0.625
179,4,2,4,0,0.6667,0.5
180,5,1,3,0,0.8333,0.625
181,5,1,3,0,0.8333,0.625
182,6,1,2,0,0.8571,0.75
183,6,1,2,0,0.8571,0.75
184,6,1,2,0,0.8571,0.75
185,5,1,3,0,0.8333,0.625
186,5,1,3,0,0.8333,0.625
187,5,1,3,0,0.8333,0.625
188,4,3,4,0,0.5714,0.5
189,3,4,5,0,0.4286,0.375
190,3,4,5,0,0.4286,0.375
191,4,3,4,0,0.5714,0.5
192,4,4,4,0,0.5,0.5
193,4,4,4,0,0.5,0.5
194,4,3,4,0,0.5714,0.5
195,4,3,4,0,0.5714,0.5
196,4,3,3,0,0.5714,0.5714
197,4,3,3,0,0.5714,0.5714
198,4,3,3,0,0.5714,0.5714
199,4,3,3,0,0.5714,0.5714
200,4,3,3,0,0.5714,0.5714
201,4,3,4,0,0.5714,0.5
202,4,3,3,0,0.5714,0.5714
203,4,4,3,0,0.5,0.5714
204,4,4,3,0,0.5,0.5714
205,6,2,1,0,0.75,0.8571
206,6,2,1,0,0.75,0.8571
207,6,2,1,0,0.75,0.8571
208,6,2,1,0,0.75,0.8571
209,6,2,1,0,0.75,0.8571
210,5,2,2,0,0.7143,0.7143
211,5,2,2,0,0.7143,0.7143
212,5,2,2,0,0.7143,0.7143
213,5,2,2,0,0.7143,0.7143
214,5,2,2,0,0.7143,0.7143
215,3,4,4,0,0.4286,0.4286
216,3,3,4,0,0.5,0.4286
217,3,3,4,0,0.5,0.4286
218,4,2,4,0,0.6667,0.5
219,4,1,3,1,0.8,0.5714
220,4,3,4,0,0.5714,0.5
221,4,3,3,1,0.5714,0.5714
222,5,2,3,0,0.7143,0.625
223,4,4,3,0,0.5,0.5714
224,4,3,4,0,0.5714,0.5
225,5,1,2,0,0.8333,0.7143
226,6,0,2,1,1.0,0.75
227,5,2,3,0,0.7143,0.625
228,6,1,2,0,0.8571,0.75
229,5,3,3,0,0.625,0.625
230,6,2,2,0,0.75,0.75
231,7,2,1,0,0.7778,0.875
232,7,2,1,0,0.7778,0.875
233,7,2,1,0,0.7778,0.875
234,7,2,1,0,0.7778,0.875
235,7,2,2,0,0.7778,0.7778
236,10,1,0,0,0.9091,1.0
237,9,2,0,0,0.8182,1.0
238,9,2,1,0,0.8182,0.9
239,7,2,3,0,0.7778,0.7
240,7,2,3,0,0.7778,0.7
241,7,1,3,0,0.875,0.7
242,8,1,2,0,0.8889,0.8
243,7,2,3,0,0.7778,0.7
244,8,2,2,0,0.8,0.8
245,7,3,4,0,0.7,0.6364
246,7,3,4,0,0.7,0.6364
247,8,2,2,0,0.8,0.8
248,8,3,3,0,0.7273,0.7273
249,6,4,5,0,0.6,0.5455
250,8,2,3,0,0.8,0.7273
251,8,2,4,0,0.8,0.6667
252,8,2,3,0,0.8,0.7273
253,6,3,5,0,0.6667,0.5455
254,6,3,5,0,0.6667,0.5455
255,6,3,5,0,0.6667,0.5455
256,6,2,5,0,0.75,0.5455
257,6,2,5,0,0.75,0.5455
258,7,3,5,0,0.7,0.5833
259,7,3,4,0,0.7,0.6364
260,7,3,4,0,0.7,0.6364
261,7,4,4,0,0.6364,0.6364
262,6,5,5,0,0.5455,0.5455
263,6,5,5,0,0.5455,0.5455
264,7,4,4,0,0.6364,0.6364
265,9,1,2,0,0.9,0.8182
266,9,0,3,0,1.0,0.75
267,8,1,4,0,0.8889,0.6667
268,7,3,5,0,0.7,0.5833
269,9,2,4,0,0.8182,0.6923
270,8,2,5,0,0.8,0.6154
271,7,4,6,0,0.6364,0.5385
272,8,4,6,0,0.6667,0.5714
273,7,5,7,0,0.5833,0.5
274,8,3,5,0,0.7273,0.6154
275,8,4,5,0,0.6667,0.6154
276,9,3,4,0,0.75,0.6923
277,8,4,5,0,0.6667,0.6154
278,9,2,4,0,0.8182,0.6923
279,7,3,5,0,0.7,0.5833
280,8,0,4,0,1.0,0.6667
281,8,0,4,0,1.0,0.6667
